id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
399	acta trop	-0.1968	0.4089	3	236	26724	716
451	adv parasit	-0.411	0.2186	3	211	4586	98
473	afr health sci	0.4961	0.3458	3	101	608	27
546	aids	0.9209	-0.245	1	188	7334	346
552	aids care	1.2098	-0.0707	1	67	511	23
594	am j clin nutr	0.9311	-0.1755	1	116	1599	59
600	am j epidemiol	0.6971	0.1808	1	170	1953	61
606	am j hum genet	-0.1239	-0.2535	2	119	714	23
623	am j pathol	-0.4608	-0.3338	2	121	1072	22
633	am j public health	1.0356	-0.0186	1	125	1022	41
638	am j resp crit care	0.5834	-0.3271	1	94	459	24
645	am j trop med hyg	0.0539	0.1501	5	243	78734	2417
766	ann intern med	0.6305	-0.3472	1	135	1339	49
782	ann ny acad sci	-0.4479	-0.0444	2	144	1204	34
816	ann soc belg med tr	0.0452	0.3051	4	214	6062	200
817	ann soc belg med trop	0.021	0.1633	4	103	571	23
838	ann trop med parasit	0.1479	0.2878	4	232	17053	438
840	ann trop paediatr	0.761	-0.0484	1	133	1167	27
862	annu rev entomol	-0.8845	0.011	2	149	1921	43
917	antimicrob agents ch	-0.2073	-0.7316	2	205	11400	322
922	antivir res	-0.5046	-0.6928	2	87	1083	24
938	appl environ microb	-0.4901	0.0059	2	172	3582	103
967	arch dis child	0.6837	-0.2207	1	120	772	24
1158	b entomol res	-0.6679	1.155	5	119	6208	107
1203	b soc pathol exot	0.0053	0.575	4	183	4907	134
1208	b world health organ	0.7122	0.2205	1	235	18223	611
1318	bioinformatics	-0.9547	-0.1059	2	125	2217	53
1359	biometrics	0.3728	0.1903	4	120	763	32
1388	bjog-int j obstet gy	1.2099	-0.1582	1	104	1158	40
1394	blood	-0.0871	-0.5043	2	152	1875	61
1412	bmc evol biol	-1.0342	0.4539	3	105	1166	20
1414	bmc genomics	-0.9272	-0.2198	2	135	987	25
1416	bmc health serv res	1.0529	-0.0171	1	69	428	22
1420	bmc infect dis	0.2933	-0.0938	1	212	3803	105
1424	bmc med	0.5071	0.4743	5	109	751	24
1434	bmc pregnancy childb	1.4946	-0.0612	1	47	793	39
1436	bmc public health	0.8609	0.1675	1	169	2189	84
1449	bmj-brit med j	0.6287	-0.3274	1	193	2458	93
1505	brit j clin pharmaco	0.7153	-0.2629	1	75	778	25
1507	brit j dermatol	0.3383	0.0415	4	102	819	25
1526	brit med j	0.7515	-0.0604	1	220	6667	255
1558	bull soc pathol exot	0.2953	0.5833	3	145	1793	39
1562	bull world health organ	0.5901	0.2513	1	124	998	25
1625	cad saude publica	0.708	0.539	5	87	686	20
1732	cell	-0.9859	-0.4547	2	113	2080	39
1740	cell microbiol	-0.6821	-0.4475	2	138	1380	29
1757	cent afr j med	0.7623	0.0368	1	108	758	25
1862	clin chem	0.3174	-0.3486	1	130	680	28
1869	clin dermatol	0.209	-0.0073	4	141	1227	42
1871	clin diagn lab immun	-0.1827	-0.0983	2	165	2322	53
1880	clin exp immunol	-0.1663	-0.5125	2	139	1849	42
1892	clin infect dis	0.4032	-0.2662	1	235	16467	530
1904	clin microbiol infec	-0.0038	-0.224	1	200	4232	133
1905	clin microbiol rev	0.075	-0.2933	1	225	5506	170
1932	clin vaccine immunol	-0.3258	-0.1249	2	175	2039	54
1948	cochrane db syst rev	0.6049	-0.0349	1	190	3705	100
2224	curr opin infect dis	0.373	-0.2532	4	143	1180	38
2246	curr top microbiol	-0.2728	-0.3245	2	126	701	20
2414	diagn micr infec dis	0.1258	-0.1798	1	163	2323	57
2524	e afr med j	0.7255	0.105	1	165	1730	53
2535	east afr med j	0.3553	-0.0054	4	133	621	22
2649	embo j	-1.1031	-0.4143	2	99	1378	26
2653	emerg infect dis	0.0007	0.0613	4	235	15225	486
2778	epidemiol infect	0.068	-0.134	1	187	1885	57
2804	epilepsia	0.2448	0.5542	3	101	1869	70
2891	eur j biochem	-1.0347	-0.4523	2	109	1018	23
2896	eur j clin microbiol	-0.0357	-0.2968	1	182	2542	73
2907	eur j immunol	-0.5546	-0.5684	2	117	1225	32
2939	euro surveill	0.0794	-0.3415	1	110	804	20
2949	eurosurveillance	-0.1222	0.0938	1	147	1662	56
2982	evolution	-1.0855	0.2333	3	115	889	23
2997	exp appl acarol	-0.8654	0.3162	3	96	1947	43
